City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Chambersburg,US,39.9376,-77.6611,59.61,48,83,4.0,broken clouds
165,Koutiala,ML,12.3917,-5.4642,83.26,18,20,8.93,few clouds
166,Bullhead City,US,35.1478,-114.5683,71.02,15,1,28.77,clear sky
167,Hearst,CA,49.6835,-83.6665,12.97,92,100,8.66,light snow
168,Byron Bay,AU,-28.65,153.6167,77.05,86,99,14.14,overcast clouds
169,Chokurdakh,RU,70.6333,147.9167,-30.68,100,27,4.59,scattered clouds
170,Kasempa,ZM,-13.4584,25.8338,63.48,87,98,4.12,overcast clouds
171,Lakes Entrance,AU,-37.8811,147.981,57.58,90,100,13.27,light rain
172,Viedma,AR,-40.8135,-62.9967,76.35,29,0,12.37,clear sky
173,Kahului,US,20.8947,-156.47,85.26,69,40,18.41,scattered clouds
174,El Sauzal,MX,31.9,-116.6833,71.42,59,0,12.44,clear sky
175,Micco,US,27.8806,-80.5003,75.25,68,59,3.0,broken clouds
176,Saposoa,PE,-6.934,-76.7716,86.61,52,75,4.0,moderate rain
177,Miles City,US,46.4083,-105.8406,53.51,53,1,8.05,clear sky
178,Richards Bay,ZA,-28.783,32.0377,66.22,72,100,6.71,overcast clouds
179,San Javier,ES,37.8063,-0.8374,54.99,54,0,4.0,clear sky
180,Pangnirtung,CA,66.1451,-65.7125,21.43,90,100,4.94,light snow
181,Iqaluit,CA,63.7506,-68.5145,23.29,71,93,12.33,overcast clouds
182,Tongren,CN,27.7172,109.1853,50.65,84,0,2.44,clear sky
183,Teahupoo,PF,-17.8333,-149.2667,78.76,76,34,16.53,scattered clouds
184,Ishinomaki,JP,38.4167,141.3,41.0,81,59,15.12,broken clouds
185,Acarau,BR,-2.8856,-40.12,81.77,73,91,16.8,overcast clouds
186,Ushtobe,KZ,45.2514,77.9838,46.13,89,100,19.17,overcast clouds
187,Mehamn,NO,71.0357,27.8492,23.18,62,0,12.66,clear sky
188,Atambua,ID,-9.1061,124.8925,75.16,86,68,0.4,broken clouds
189,Naryan-Mar,RU,67.6713,53.087,3.43,91,29,5.66,scattered clouds
190,Atar,MR,20.5169,-13.0499,84.11,24,98,7.05,overcast clouds
191,Uppsala,SE,60.0,17.75,28.56,85,0,3.44,clear sky
192,Vikulovo,RU,56.8167,70.6107,-2.79,98,14,6.51,few clouds
193,Kathu,TH,7.9178,98.3332,76.82,79,99,3.89,overcast clouds
194,Auki,SB,-8.7676,160.7034,80.17,81,96,2.44,overcast clouds
195,Coromandel,BR,-18.4733,-47.2003,76.17,59,56,5.26,broken clouds
196,Barinas,VE,8.6226,-70.2075,80.38,74,62,2.08,broken clouds
197,Kibala,TD,9.1104,18.3463,78.44,22,21,4.43,few clouds
198,Longyearbyen,SJ,78.2186,15.6401,12.04,52,20,19.57,few clouds
199,Whitecourt,CA,54.1502,-115.6855,37.96,91,100,2.62,overcast clouds
200,Mataura,NZ,-46.1927,168.8643,56.39,76,100,4.29,light rain
201,Torfyanoy,RU,58.4916,49.1979,12.31,97,76,5.61,broken clouds
202,Lima,PE,-12.0432,-77.0282,72.9,72,75,13.8,light rain
203,Batagay-Alyta,RU,67.8006,130.4114,-22.9,80,98,2.51,overcast clouds
204,Gat,IL,31.61,34.7642,63.39,81,21,2.77,few clouds
205,Ust-Ilimsk,RU,58.0006,102.6619,16.16,95,100,3.15,overcast clouds
206,Airai,TL,-8.9266,125.4092,61.52,92,79,1.39,broken clouds
207,Tateyama,JP,34.9833,139.8667,52.11,62,0,7.4,clear sky
208,Castro,BR,-24.7911,-50.0119,75.31,57,84,4.94,broken clouds
209,San Cristobal,VE,7.7669,-72.225,77.18,76,100,3.83,overcast clouds
210,Lensk,RU,60.7253,114.9278,2.28,97,98,3.51,overcast clouds
211,Pangai,TO,-19.8,-174.35,84.31,65,75,5.75,broken clouds
212,Rockport,US,28.0206,-97.0544,60.82,94,90,13.8,moderate rain
213,Buala,SB,-8.145,159.5921,82.26,77,68,3.6,light rain
214,Tuatapere,NZ,-46.1333,167.6833,56.14,84,100,3.98,light rain
215,Nuevitas,CU,21.5453,-77.2644,74.64,64,93,9.91,overcast clouds
216,Laguna,US,38.421,-121.4238,69.01,59,1,1.01,haze
217,Victoria,HK,22.2855,114.1577,68.32,75,12,8.5,few clouds
218,Valpoi,IN,15.5305,74.1356,72.82,78,38,4.34,scattered clouds
219,Honningsvag,NO,70.9821,25.9704,22.75,80,40,5.75,scattered clouds
220,Beringovskiy,RU,63.05,179.3167,-4.72,91,100,10.49,overcast clouds
221,Esperance,AU,-33.8667,121.9,57.52,84,99,8.95,overcast clouds
222,Asau,RO,46.4333,26.4,31.28,78,1,6.26,clear sky
223,Vao,NC,-22.6667,167.4833,75.04,84,37,17.07,scattered clouds
224,Lalibela,ET,12.0333,39.0333,57.6,62,54,7.07,broken clouds
225,Maningrida,AU,-12.0667,134.2667,81.0,72,93,1.01,overcast clouds
226,Chapais,CA,49.7834,-74.8492,31.23,100,100,0.47,snow
227,Biak,ID,-0.9131,122.8766,76.6,83,99,2.46,overcast clouds
228,Kamenka,RU,51.3223,42.7678,27.48,91,50,8.37,scattered clouds
229,Ibra,OM,22.6906,58.5334,69.26,59,1,1.72,clear sky
230,Brest,BY,52.1,23.7,36.48,81,61,10.83,broken clouds
231,Barcelos,PT,41.5388,-8.6151,51.94,83,14,7.52,few clouds
232,Bayshore Gardens,US,27.4253,-82.5904,79.05,53,40,5.75,scattered clouds
233,Kampene,CD,-3.6,26.6667,68.23,100,100,1.61,moderate rain
234,Aklavik,CA,68.2191,-135.0107,-7.6,77,75,8.05,broken clouds
235,Pacific Grove,US,36.6177,-121.9166,74.3,30,1,4.0,clear sky
236,Saint Anthony,US,45.0205,-93.218,24.89,41,1,3.0,clear sky
237,San Vicente,AR,-26.6167,-54.1333,77.54,67,100,3.4,moderate rain
238,Klaksvik,FO,62.2266,-6.589,40.12,66,88,34.02,overcast clouds
239,Pathein,MM,16.7833,94.7333,73.17,93,99,2.98,overcast clouds
240,Ketchikan,US,55.3422,-131.6461,48.67,87,90,12.66,moderate rain
241,Saskylakh,RU,71.9167,114.0833,-6.95,95,76,8.61,broken clouds
242,Eureka,US,40.8021,-124.1637,62.13,68,100,2.64,overcast clouds
243,Cabo San Lucas,MX,22.8909,-109.9124,81.7,66,75,1.01,broken clouds
244,La Ronge,CA,55.1001,-105.2842,21.99,79,100,12.26,overcast clouds
245,Krasnoturansk,RU,54.3186,91.5639,20.19,92,100,7.61,overcast clouds
246,Lagoa,PT,39.05,-27.9833,61.93,68,77,32.17,broken clouds
247,Sibolga,ID,1.7427,98.7792,75.96,91,100,2.75,overcast clouds
248,Poum,NC,-20.2333,164.0167,77.07,74,2,5.91,clear sky
249,Gardiner,US,44.2301,-69.7753,49.24,57,1,0.0,clear sky
250,Bambanglipuro,ID,-7.95,110.2833,77.77,84,99,3.78,overcast clouds
251,Mbini,GQ,1.574,9.6134,79.0,84,99,2.39,overcast clouds
252,Marawi,PH,7.9986,124.2928,65.64,94,100,1.9,overcast clouds
253,Camapua,BR,-19.5314,-54.0439,82.47,61,95,4.7,overcast clouds
254,Torbay,CA,47.6666,-52.7314,51.28,99,90,17.27,fog
255,Staryy Nadym,RU,65.6118,72.6842,-1.89,91,96,11.05,overcast clouds
256,Jacksonville Beach,US,30.2947,-81.3931,73.15,67,90,1.01,overcast clouds
257,Tecoanapa,MX,16.5167,-98.75,83.97,65,1,9.04,clear sky
258,Wagar,SD,16.1525,36.2032,76.98,65,0,15.35,clear sky
259,Gouyave,GD,12.1646,-61.7296,84.97,74,20,9.22,few clouds
260,Diego De Almagro,CL,-26.3667,-70.05,77.81,24,7,11.83,clear sky
261,Ilanskiy,RU,56.2358,96.065,31.66,96,100,8.3,light snow
262,Evensk,RU,61.95,159.2333,-9.89,81,1,13.56,clear sky
263,Kavaratti,IN,10.5669,72.642,81.48,77,100,5.41,overcast clouds
264,Finschhafen,PG,-6.6024,147.8681,80.83,77,100,4.59,light rain
265,Lasalgaon,IN,20.15,74.2333,70.92,49,40,4.05,scattered clouds
266,Balud,PH,10.1476,123.6953,79.36,87,92,4.18,overcast clouds
267,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.79,77,11,12.08,few clouds
268,Sistranda,NO,63.7256,8.834,31.96,59,100,13.51,light snow
269,Tabou,CI,4.423,-7.3528,80.65,82,31,8.79,scattered clouds
270,San Jose,US,37.3394,-121.895,73.09,36,75,4.61,broken clouds
