City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Palu,ID,75.81,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
136,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
139,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
149,Cotonou,BJ,82.51,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
154,Kudahuvadhoo,MV,80.82,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
160,Paita,PE,75.76,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
161,Araguacu,BR,83.17,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
163,Bo Rai,TH,71.83,overcast clouds,12.5728,102.5371,Baiboon Resort
165,Koutiala,ML,83.26,few clouds,12.3917,-5.4642,Hotel La Chaumiere
166,Bullhead City,US,71.02,clear sky,35.1478,-114.5683,Harrah's Laughlin
168,Byron Bay,AU,77.05,overcast clouds,-28.65,153.6167,Backpackers Inn
172,Viedma,AR,76.35,clear sky,-40.8135,-62.9967,Hotel Cristal
173,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
174,El Sauzal,MX,71.42,clear sky,31.9,-116.6833,La Rosas Hotel & Spa
175,Micco,US,75.25,broken clouds,27.8806,-80.5003,Seashell Suites Resort
176,Saposoa,PE,86.61,moderate rain,-6.934,-76.7716,Hostal Primavera
183,Teahupoo,PF,78.76,scattered clouds,-17.8333,-149.2667,Vanira Lodge
185,Acarau,BR,81.77,overcast clouds,-2.8856,-40.12,castelo pizzaria
188,Atambua,ID,75.16,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
190,Atar,MR,84.11,overcast clouds,20.5169,-13.0499,Oumou Elghoura
193,Kathu,TH,76.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
194,Auki,SB,80.17,overcast clouds,-8.7676,160.7034,Auki Motel
195,Coromandel,BR,76.17,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
196,Barinas,VE,80.38,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
197,Kibala,TD,78.44,few clouds,9.1104,18.3463,hotel safari
202,Lima,PE,72.9,light rain,-12.0432,-77.0282,Gran Hotel Bolivar Lima
208,Castro,BR,75.31,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
209,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
211,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
213,Buala,SB,82.26,light rain,-8.145,159.5921,Maringe Lagoon Lodge
215,Nuevitas,CU,74.64,overcast clouds,21.5453,-77.2644,Hotel Caonaba
218,Valpoi,IN,72.82,scattered clouds,15.5305,74.1356,Cajueiro Homestead
223,Vao,NC,75.04,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
225,Maningrida,AU,81.0,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
227,Biak,ID,76.6,overcast clouds,-0.9131,122.8766,Penginapan Kim
232,Bayshore Gardens,US,79.05,scattered clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
235,Pacific Grove,US,74.3,clear sky,36.6177,-121.9166,Lovers Point Inn
237,San Vicente,AR,77.54,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
239,Pathein,MM,73.17,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
243,Cabo San Lucas,MX,81.7,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
247,Sibolga,ID,75.96,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
248,Poum,NC,77.07,clear sky,-20.2333,164.0167,Gîte kajeon
250,Bambanglipuro,ID,77.77,overcast clouds,-7.95,110.2833,Puri Brata
253,Camapua,BR,82.47,overcast clouds,-19.5314,-54.0439,Comercial Estrela
256,Jacksonville Beach,US,73.15,overcast clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
257,Tecoanapa,MX,83.97,clear sky,16.5167,-98.75,Hotel Manglares
259,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
260,Diego De Almagro,CL,77.81,clear sky,-26.3667,-70.05,hotel luna del desierto
263,Kavaratti,IN,81.48,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
264,Finschhafen,PG,80.83,light rain,-6.6024,147.8681,Cossam Guest House
265,Lasalgaon,IN,70.92,scattered clouds,20.15,74.2333,Dhanraj Hotel
266,Balud,PH,79.36,overcast clouds,10.1476,123.6953,Pulchra Resort
267,Sao Jose Da Coroa Grande,BR,79.79,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
269,Tabou,CI,80.65,scattered clouds,4.423,-7.3528,hotêl doufoulougou
270,San Jose,US,73.09,broken clouds,37.3394,-121.895,The Westin San Jose
271,Santa Vitoria,BR,85.33,overcast clouds,-18.8386,-50.1214,Center Hotel
274,Guerrero Negro,MX,75.47,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
279,Gladstone,AU,73.33,light rain,-23.85,151.25,Highpoint International
282,Port Keats,AU,80.15,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
285,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
287,Augusto Correa,BR,79.61,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
298,Bintulu,MY,77.25,moderate rain,3.1667,113.0333,900 Boutique INN
299,Loa Janan,ID,73.54,overcast clouds,-0.583,117.095,PONDOK COKLAT HATTA CAB. LOA JANAN ILIR
300,Altagracia De Orituco,VE,80.47,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
301,Hambantota,LK,77.27,overcast clouds,6.1241,81.1185,Bungalow 63
303,Boyolangu,ID,76.41,moderate rain,-8.1181,111.8935,Yos ega cv
306,Trinidad,BO,78.73,overcast clouds,-14.8333,-64.9,Hotel Piesta
307,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
309,Garowe,SO,74.71,clear sky,8.4054,48.4845,Curubo Hotel
311,Kanniyakumari,IN,77.16,light rain,8.0833,77.5667,Sparsa
